adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count
False,/cqeeBvjpXu28JerXBItA73z5tqU.jpg,"[16, 35]",57775,['JP'],ja,ちびまる子ちゃん,,108.9444,/5Ta4wnZPzOf4oCEgpBfmvXWhYwJ.jpg,1990-01-07,ちびまる子ちゃん,7.9,22
False,/3ILUdTEetxZZ8RkPxf5e0H9pCcP.jpg,[35],4327,['GB'],en,Mr. Bean,"Serie que a través de numerosos sketches narra las desventuras de un peculiar y humorístico personaje, Mr. Bean, un adulto de mente profundamente simple al que cualquier tarea, por sencilla que sea, le supone una extraordinaria labor que siempre se le complica hasta extremos insospechadamente divertidos.",23.7676,/pUNQV35kDaKuejnXGNiUeEBurNE.jpg,1990-01-01,Mr. Bean,7.98,1512
False,/yTA6UaUZklSzNvKQEvo9qpOPB6H.jpg,"[16, 35, 18, 10751]",8727,['JP'],ja,私のあしながおじさん,,16.6256,/rMTIvk36wuOCTkGgiBchpFOxb3y.jpg,1990-01-14,Papá piernas largas,6.7,19
False,/borJhTreo7a0f8YwDvcVZTrWi0Q.jpg,"[10759, 18]",15822,['US'],en,Zorro,"El Zorro es una serie de principios de los noventa que cuenta las disitintas aventuras de El Zorro (Diego de la Vega) por suprimir los planes de poder y ambición del alcalde de los Ángeles. La historia inicia con el viaje de Diego de la Vega (Duncan Regehr) hacia España para la realización de sus estudios universitarios, pero no solo aprende acerca de la ciencia química y física, sino que además demuestra su habilidad con el sable.

Al regresar a Los Ángeles, se da cuenta que el pueblo está prácticamente secuestrado por el dominio de su tirano alcalde. Se da cuenta que la mejor alternativa es ocultar su identidad bajo la máscara. De esta forma el hijo de Alejandro de la Vega, se transforma en el inigualable héroe que el pueblo tanto necesitaba. Este héroe se divertía con la ingenuidad del asistente del alcalde Mendoza, a quien en momentos lo tenía como aliado, pero que vivía bajo el temor de la presión del Alcalde. Sin embargo, quien siempre fue su aliado y confidente fue Bernardo (Juan Diego Botto) un criado que para cualquiera era sordomudo, pero en realidad era solamente mudo y se hacia pasar por sordomudo. También es importante mencionar a Victoria Escalante quien fuera la pretendida de Diego de la Vega, pero quien solo parecía mirar al Zorro",8.5233,/iuo9I7AF6HSs4RdpwHb2QFOkZjk.jpg,1990-01-05,El Zorro,7.102,270
False,/fM7OxNnULTgN19JChMPIv2OSiNx.jpg,"[18, 10751]",10860,"['CA', 'US']",en,Road to Avonlea,,8.2249,/2392PwVEfsMOMgYD5q0KaRWbjhP.jpg,1990-01-07,Road to Avonlea,8.2,37
False,,[10763],89484,['AT'],de,Romy,,6.2419,,1990-01-01,Romy,9.0,1
False,/faIfv1OQLw0t0Ys0vqJEy3Knezp.jpg,[99],66651,['FR'],fr,Envoyé Spécial,,5.6318,/pShyDl4Iua5IVwLDS43adeK4FU7.jpg,1990-01-18,Envoyé Spécial,7.7,5
False,/115UfyJT4rkXxTFzNISvN7K58Zi.jpg,"[10759, 35, 10751, 10762]",66614,['JP'],ja,美少女仮面ポワトリン,,5.2972,/2pxIl32GtXBHxZLwZtqbx2jYcoa.jpg,1990-01-07,美少女仮面ポワトリン,8.0,2
False,/u6pOmnjGp5wkXDPflIWuOe6vW8Q.jpg,"[10759, 10765, 18]",67668,['CN'],zh,封神榜,,4.9792000000000005,/sAwAhpGnvG6yyXi9FDmVHFDIA8p.jpg,1990-01-09,封神榜,7.8,5
False,/imkArCo1nzH5GpO9lpIgJ2v6VoH.jpg,[18],232619,['JP'],ja,HOTEL,,4.1383,/4hp8Zg8NK8hO9aUurck4x4PA4lG.jpg,1990-01-11,HOTEL,0.0,0
