tmdb_id,titulo,certificacion,espectadores_live,es_tendencia,es_popular
1290821,Shelter,R,2134,True,True
1236153,Mercy,PG-13,1900,True,True
799882,The Bluff,R,1398,True,True
1272837,28 Years Later: The Bone Temple,R,1127,True,True
1368166,The Housemaid,R,1098,True,True
1317288,Marty Supreme,R,874,True,True
1084242,Zootopia 2,PG,685,True,True
1443576,Sundays,PG-13,623,True,True
1242898,Predator: Badlands,PG-13,554,True,True
1234731,Anaconda,PG-13,480,True,True
858024,Hamnet,PG-13,478,True,True
1168190,The Wrecking Crew,R,476,True,True
1214931,Nuremberg,PG-13,471,True,True
1159559,Scream 7,R,468,True,True
680493,Return to Silent Hill,R,467,True,True
1032892,In the Blink of an Eye,PG-13,424,True,True
1327688,One Mile: Chapter One,R,423,True,True
1208348,Rental Family,PG-13,418,True,True
425274,Now You See Me: Now You Don't,PG-13,392,True,True
1327690,One Mile: Chapter Two,R,373,True,True
701387,Bugonia,R,353,True,True
1054867,One Battle After Another,R,332,True,True
840464,Greenland 2: Migration,PG-13,329,True,True
1246049,Dracula,R,328,True,True
1306368,The Rip,R,315,True,True
1317149,I Swear,R,307,True,True
1088434,Hellfire,R,275,True,True
1233413,Sinners,R,272,True,True
1263012,Dead Man's Wire,R,259,True,True
1315303,Primate,R,255,True,True
798645,The Running Man,R,245,True,True
1433680,The Dinner,,242,True,True
1259102,Eternity,PG-13,232,True,True
911430,F1,PG-13,230,True,True
1242419,Roofman,R,215,True,True
1171145,Crime 101,R,213,True,True
1340110,Redux Redux,R,213,True,True
1371185,Song Sung Blue,PG-13,191,True,True
1428862,Firebreak,R,188,True,True
1401778,Turbulence,R,183,True,True
803796,KPop Demon Hunters,PG,180,True,True
157336,Interstellar,PG-13,177,True,False
1234821,Jurassic World Rebirth,PG-13,177,True,True
812583,Wake Up Dead Man: A Knives Out Mystery,PG-13,174,True,True
1235746,Dead of Winter,R,174,True,True
1220564,The Secret Agent,R,165,True,True
1062722,Frankenstein,R,156,True,True
269149,Zootopia,PG,152,True,False
83533,Avatar: Fire and Ash,PG-13,148,True,True
1198994,Send Help,R,144,True,True
120,The Lord of the Rings: The Fellowship of the Ring,PG-13,143,True,False
1100988,28 Years Later,R,143,True,True
502356,The Super Mario Bros. Movie,PG,142,True,False
1198984,We Bury the Dead,R,138,True,True
1061474,Superman,PG-13,132,True,True
1140498,Is This Thing On?,R,130,True,True
862,Toy Story,G,129,True,False
4232,Scream,R,128,True,False
533533,TRON: Ares,PG-13,128,True,True
1316092,"""Wuthering Heights""",R,128,True,True
