tmdb_id,titulo,certificacion,espectadores_live,es_tendencia,es_popular
250307,The Pitt,TV-MA,6949,True,False
91239,Bridgerton,TV-MA,6935,True,False
224372,A Knight of the Seven Kingdoms,TV-MA,4834,True,True
245927,Paradise,TV-MA,4551,True,False
129552,The Night Agent,TV-MA,4043,True,False
202411,Monarch: Legacy of Monsters,TV-14,3037,True,False
87083,Formula 1: Drive to Survive,TV-MA,2929,True,False
136311,Shrinking,TV-MA,2549,True,False
79744,The Rookie,TV-14,2410,True,False
106379,Fallout,TV-MA,2304,True,False
1667,Saturday Night Live,TV-14,2279,True,False
198102,Hijack,TV-MA,2220,True,False
1434,Family Guy,TV-14,2184,True,False
1416,Grey's Anatomy,TV-14,1895,True,False
223530,Star Trek: Starfleet Academy,TV-14,1767,True,True
60694,Last Week Tonight with John Oliver,TV-MA,1710,True,False
90812,Industry,TV-MA,1671,True,False
1399,Game of Thrones,TV-MA,1643,True,False
95479,Jujutsu Kaisen,TV-14,1469,True,False
253391,Sheriff Country,TV-14,1445,True,True
75219,9-1-1,TV-14,1432,True,False
62705,Married at First Sight (AU),,1423,True,False
66732,Stranger Things,TV-14,1406,True,False
116799,The Lincoln Lawyer,TV-MA,1389,True,False
126027,Ghosts,TV-14,1381,True,False
215943,The Traitors,TV-14,1343,True,False
456,The Simpsons,TV-14,1330,True,False
1418,The Big Bang Theory,TV-14,1326,True,False
290856,Marshals,TV-14,1318,True,True
42009,Black Mirror,TV-MA,1265,True,False
2734,Law & Order: Special Victims Unit,TV-14,1251,True,False
213306,Cross,TV-MA,1243,True,False
273160,The Beauty,TV-MA,1239,True,True
128904,Dark Winds,TV-MA,1230,True,False
211288,Tracker,TV-14,1181,True,False
202297,Fire Country,TV-14,1173,True,False
209867,Frieren: Beyond Journey's End,TV-14,1161,True,False
243875,Georgie & Mandy's First Marriage,TV-PG,1157,True,False
1668,Friends,TV-14,1137,True,False
295778,Scrubs,TV-14,1085,True,True
1433,American Dad!,TV-14,1076,True,False
1421,Modern Family,TV-PG,1073,True,False
284736,Boston Blue,TV-14,1048,True,True
157741,Landman,TV-MA,1043,True,False
2316,The Office,TV-14,1013,True,False
247723,The Hunting Party,TV-14,1003,True,False
117465,Hell's Paradise,TV-14,988,True,False
241372,56 Days,TV-MA,963,True,True
226174,Matlock,TV-14,958,True,False
262262,Under Salt Marsh,,908,True,True
1396,Breaking Bad,TV-MA,898,True,False
226285,Elsbeth,TV-14,873,True,False
225171,Pluribus,TV-MA,869,True,True
