timestamp,modelo,n_factores,n_epocas,learning_rate,regularizacion,embedding_dim,batch_size,k_vecinos,neg_samples,min_ratings_user,min_ratings_item,hidden_layers,MAE,RMSE,NDCG_10,Precision_10,Recall_10,Hit_Rate_10,Coverage_10,MRR_10,train_time_s,dataset_size,notas
2026-04-04 13:39:43,NCF,NA,5,0.001,NA,32,2048,NA,4,200,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,9129.05,13522466,Modelo de ranking (BCE pairwise). MAE/RMSE no aplican directamente.
2026-04-04 17:52:41,TwoTowers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6585255,
2026-04-04 17:59:36,TwoTowers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725428,
2026-04-04 19:18:00,Wide&Deep-Ranking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26451735,
2026-04-06 15:03:42,SVD,100,20,0.005,0.02,NA,NA,NA,NA,20,NA,NA,0.584177,0.778196,NA,NA,NA,NA,NA,NA,NA,24458526,
2026-04-06 15:13:15,SVD,100,30,0.005,0.02,NA,NA,NA,NA,20,NA,NA,0.581299,0.775228,NA,NA,NA,NA,NA,NA,NA,24458526,
2026-04-06 15:24:05,SVD,100,40,0.005,0.02,NA,NA,NA,NA,20,NA,NA,0.583383,0.778181,NA,NA,NA,NA,NA,NA,NA,24458526,
2026-04-06 15:30:44,SVD,100,20,0.004,0.02,NA,NA,NA,NA,20,NA,NA,0.588465,0.783017,NA,NA,NA,NA,NA,NA,NA,24458526,
2026-04-06 15:41:43,SVD,100,20,0.006,0.02,NA,NA,NA,NA,20,NA,NA,0.582732,0.777147,NA,NA,NA,NA,NA,NA,NA,24458526,
2026-04-06 15:58:25,SVD,100,20,0.006,0.03,NA,NA,NA,NA,20,NA,NA,0.586008,0.78017,NA,NA,NA,NA,NA,NA,NA,24458526,
2026-04-06 16:07:57,SVD,100,20,0.006,0.01,NA,NA,NA,NA,20,NA,NA,0.594385,0.793336,NA,NA,NA,NA,NA,NA,NA,24458526,
2026-04-06 16:18:02,SVD,110,30,0.005,0.02,NA,NA,NA,NA,20,NA,NA,0.581569,0.775588,NA,NA,NA,NA,NA,NA,NA,24458526,
2026-04-06 16:23:57,SVD,90,30,0.005,0.02,NA,NA,NA,NA,20,NA,NA,0.581337,0.775276,NA,NA,NA,NA,NA,NA,NA,24458526,
2026-04-06 16:49:15,KNN+Cosine,NA,NA,NA,NA,NA,NA,40,NA,50,150,NA,0.658981,0.882854,NA,NA,NA,NA,NA,NA,NA,21530073,
2026-04-06 17:12:17,KNN+Cosine,NA,NA,NA,NA,NA,NA,50,NA,50,120,NA,0.663496,0.887019,NA,NA,NA,NA,NA,NA,NA,21617341,
2026-04-06 23:23:09,KNNWithMeans_Buscador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21530073,
2026-04-07 00:00:08,KNN+Cosine,NA,NA,NA,NA,NA,NA,40,NA,50,150,NA,0.658981,0.882854,NA,NA,NA,NA,NA,NA,NA,21530073,
2026-04-11 23:41:02,Wide&Deep-Ranking_r100,NA,NA,NA,NA,NA,NA,NA,NA,100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73958065,
2026-04-11 23:54:14,TwoTowers_r100,NA,NA,NA,NA,NA,NA,NA,NA,100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16659467,
2026-04-12 00:00:11,SVD+KNN+Rerank Géneros (TX),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.206043,2.448946,0.028427,0.006005,NA,NA,NA,NA,NA,25518856,"Evaluación muestreo 500 usuarios, test_size=0.2"
2026-04-12 00:02:25,SVD+KNN+Rerank Simple (TX),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.500218,2.709744,0.020876,0.005081,NA,NA,NA,NA,NA,25518856,"Evaluación muestreo 500 usuarios, test_size=0.2"
2026-04-12 00:24:52,SVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.323174,0.305017,0.053437,0.896321,0.06509,0.611651,NA,25769933,"Evaluación ranking K=10, 300 usuarios test"
2026-04-12 00:24:52,KNN Clásico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.324861,0.316388,0.04657,0.862876,0.036833,0.573188,NA,25769933,"Evaluación ranking K=10, 300 usuarios test"
2026-04-12 00:24:53,Wide&Deep (Red Neuronal),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.604222,0.621739,0.094944,0.979933,0.014551,0.858012,NA,25769933,"Evaluación ranking K=10, 300 usuarios test"
2026-04-12 00:24:53,Recomendación Basada en la Trama (TF-IDF),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021857,0.019732,0.002333,0.160535,0.116214,0.068204,NA,25769933,"Evaluación ranking K=10, 300 usuarios test"
